feature1,feature2,feature3,feature4,feature5,output
0.17935800486929232,0.03010289156161272,0.31521082939839007,0.4963757121687826,0.9489700932418181,0
0.42214705149036114,0.6278540204113259,0.09019568149887491,0.443176803940209,0.8903075609093548,1
0.01716473795807527,0.712434180956565,0.8094626584836825,0.057545606232233815,0.6219254000802596,1
0.36081269255424353,0.9669796579169067,0.13189403104183606,0.3046518810681531,0.11989492363736576,1
0.8034091214213891,0.22383825274637525,0.556073299261933,0.2748472819172886,0.09117700540315388,1
0.24448696874529352,0.818308400165613,0.45604233597727795,0.010087608807113901,0.39233455326110245,0
0.09280918074571565,0.8923298743554481,0.22808966525102015,0.2053607746081635,0.5145745732947464,0
0.06028645799962662,0.6659197518510968,0.7594933604577471,0.22152492729352502,0.9561818048652646,1
0.1957027001529864,0.9831762041105553,0.24618244113814958,0.7717940558886253,0.19216430711041055,0
0.860211593855989,0.6065922010221583,0.0770039198628073,0.14650805179752746,0.7143699471775153,1
0.9754771600217285,0.540062241749541,0.06988387960935194,0.48851034601611387,0.4069585100496017,1
0.02548827037980861,0.2680315136744026,0.7992268024006838,0.6266266141248609,0.6977889694432674,0
0.8933136739947674,0.46607877610199044,0.22703074621592467,0.8791803567828974,0.7707948371344973,1
0.30755836861604835,0.28025574685026133,0.9186709017175395,0.726468824041401,0.41697513068474457,0
0.7737777444031809,0.34706623495162914,0.05733819901087389,0.3684388320469587,0.12908073892669736,1
0.798185051389339,0.8586600444378384,0.24402516571114996,0.969180031249571,0.8259397796370926,1
0.5056651668870304,0.5748278164754158,0.3510143915007661,0.1942187581125725,0.8374126008703622,0
0.08528704538997067,0.36666903684686925,0.5390330995202696,0.5270691222676446,0.925594412367971,0
0.6810213499033523,0.30227104719261466,0.3406796277849202,0.6256050845586059,0.1178696502181189,0
0.1570459818451373,0.08428059588258785,0.4182693724377605,0.6955267313165517,0.7207790728962657,1
0.5038579722964126,0.22111495930195801,0.026856200720091317,0.5109789779648339,0.8488397220685815,1
0.05357159403921041,0.6223436218694273,0.9324281610558363,0.8300541647814667,0.9274776949178939,1
0.2629012575443479,0.08144630121359431,0.013402868962389514,0.5406032921820629,0.7702522791477769,1
0.2904427286204134,0.0797161737662142,0.8363762841186904,0.8315070842659144,0.6376418946443081,1
0.08717301638966057,0.07261079488283972,0.22978212791353247,0.9852286791263596,0.7015800017613779,1
0.844808824432814,0.4686852549766256,0.4273050026122662,0.6457354851264825,0.9228369406294482,1
0.055713311175461855,0.756771232669252,0.6047482882081558,0.15365676108724635,0.8556129839453221,0
0.24074396586889424,0.3912740421192098,0.05894962144571714,0.9205016767372047,0.262691442293573,1
0.5285201924907494,0.8810107758892981,0.8592781734771636,0.8435790419756651,0.1098465592174167,0
0.8159666826765484,0.4748098677915076,0.47408890834446027,0.8383217021819969,0.5758175364980874,0
0.06413160337872392,0.32924787622656615,0.23872384726967444,0.18613691783809372,0.9679517527644304,1
0.2700851038083,0.011749654080077776,0.8190061779563711,0.3827316777264381,0.28139734809364203,1
0.5582728684426227,0.12200886486083917,0.5127772791819357,0.4305400398452637,0.9173880835496633,1
0.5668626640508809,0.3499674851205108,0.9581592135056436,0.01704656129986526,0.32711954801818177,1
0.053153043069845474,0.30664411760736776,0.3099617642057798,0.9417001137000204,0.5523202531406123,0
0.4887433934571035,0.8067852579965079,0.3134797582516252,0.31612650864699765,0.2833658178534465,1
0.24323767295159737,0.8980600927066417,0.30434240166080895,0.7780287963507937,0.5152833920435624,1
0.37268497686647484,0.15068057012645375,0.518435790731867,0.08201197997957366,0.5889077999770654,1
0.710168707592306,0.6311278868456548,0.27961462485235555,0.36962934071972875,0.22617032498688328,1
0.9350624912255556,0.13225009275723754,0.00960497558587281,0.10728069488327352,0.5789955523767486,1
0.6242977056296983,0.2149576548462746,0.8908847318867215,0.7951289276538657,0.5660089379615062,0
0.47094495106881107,0.9117177226206262,0.7074548767590598,0.5186875283524982,0.0649458492199756,0
0.18641668820364354,0.7781989901221912,0.5611948588324752,0.8359366815295347,0.07646193135268953,0
0.4931286912723192,0.3570766124528766,0.5552965709882446,0.2305110858482292,0.5671501293768579,0
0.3772157205851705,0.25119612090707,0.9891909553516978,0.4445198511668077,0.6865816524770445,1
0.8291000921469972,0.6277550016979189,0.5925468567532424,0.7955411319719722,0.9540773641676427,0
0.8087260060142271,0.6917068483698694,0.755226465905198,0.12550712593981328,0.30898245473762653,0
0.6128735803369584,0.6045682636895822,0.634544045722295,0.6970660734386117,0.6609473285974778,0
0.3111154317240986,0.14927896866976442,0.43483801416849055,0.20918665084852206,0.18675476278726422,1
0.7401921715863045,0.662065791432186,0.1491333343142467,0.8048282129679356,0.8463830989728005,0
0.4568912821520581,0.13696552882769053,0.1368568118223199,0.722546847064375,0.6052615182410275,0
0.8573638029944346,0.4811216017146954,0.38184290669256893,0.039244093421657356,0.694566757596036,0
0.8583341048417344,0.7349691122674524,0.694893040084442,0.18777136843034525,0.317293936071288,1
0.4416802582763577,0.6458464991366891,0.12827706413999962,0.646597850200045,0.01816322602428333,1
0.36239712207217445,0.9271206578900388,0.923764701673238,0.6790119613601457,0.589495761495557,0
0.5896570987206226,0.42813784750096373,0.7387147955617044,0.8921417413855558,0.1544140565284755,0
0.5257492344614592,0.022436327813282753,0.3878161621462419,0.17783521954609005,0.7613181218872794,1
0.5356574508030262,0.3610369417430357,0.3199820526849899,0.9152037965935191,0.7322497202975037,0
0.37773207861752245,0.9264780971864928,0.3152560951077794,0.5914760212402891,0.9641993310834679,0
0.10414625588939208,0.05921122284969316,0.2988395021337371,0.7381811670196652,0.6759391764401106,0
0.11141076808809003,0.9156400382626122,0.7817247294102383,0.41049443399124674,0.3572141584232925,0
0.9664324089597911,0.5532741927757772,0.14341277997821322,0.26013458667334266,0.21972061341961402,1
0.9263089995091638,0.7347645697008649,0.005333258343038105,0.9140376767461216,0.3199022337314702,1
0.1851137253736561,0.7102546804142189,0.9000071928623385,0.43960099116305607,0.3701671144999974,1
0.37784030122569867,0.7611741833432528,0.5713501935443748,0.48055450889210927,0.5747524944968615,0
0.8257501709557037,0.6050689328937298,0.7978527943095812,0.017605189629160245,0.4865373430362634,0
0.32759574758740784,0.8404969628988274,0.4601469888411498,0.7311196876287923,0.49649204206128505,0
0.6123451240269323,0.7734248916308343,0.3588307483149177,0.6663095831783983,0.996331125837555,1
0.8881857385122099,0.233022007772699,0.4004628129835611,0.4095791756827568,0.781890387061667,0
0.4464128333441867,0.5250571747134284,0.44209359348483357,0.2843041231741881,0.7433371013188742,1
0.6825351610498223,0.1506735287293991,0.21440516915597063,0.871799716844484,0.9307618440615394,1
0.07776521853252483,0.33902330012804227,0.2843631234710735,0.1714830268805374,0.593978987769085,1
0.5864704543178509,0.5783660470020857,0.0002916805459072247,0.3986314360399864,0.412572810306685,1
0.01617528002341817,0.10062942044913203,0.00637793750328941,0.9251247648668693,0.4627534714351772,0
0.5258103238201891,0.07064832432771662,0.7438034151400794,0.5549078965144699,0.0016302971604529315,1
0.27105321815893935,0.11805963933590968,0.25237316432928736,0.1804675056247259,0.6391200735674613,0
0.773440812901172,0.36992241327673236,0.10852955879905501,0.27215581714269954,0.1288850578836358,1
0.9719398730124112,0.3087804506007238,0.20495184256904275,0.20852587066570716,0.50672634711241,0
0.4330201984987322,0.5241382432283688,0.2765576286497825,0.8054161705348817,0.9823229722355344,0
0.7040984133766556,0.34727667329489875,0.8283346530223216,0.8686696406265285,0.7165088869672604,1
0.007048756783470389,0.3623025156786077,0.18110906350509626,0.7789384597513683,0.42996332092721334,0
0.684179242403791,0.4409213288147471,0.9842091162863065,0.31218606193865883,0.6644730490008497,1
0.21710542566825686,0.44215937739249767,0.8073029369624416,0.27387090071190034,0.24076729291691035,0
0.30505015048660067,0.7201511631106885,0.3979279620120183,0.10908237223676909,0.08448617163255268,1
0.5216696011842539,0.40569099351776383,0.827325051300234,0.5040043132176225,0.4190161439385103,1
0.092979571147488,0.13270760034337215,0.5507473342685069,0.8242786498983836,0.3436759778541467,0
